DocType: Quality Report,5 Whys,5-Why-Methode
DocType: Standard or Norm,Active,Aktiv
DocType: Quality Report,Active Production Affected,Aktive Produktion betroffen
DocType: Quality Report,Active Production Isolated,Aktive Produktion isoliert
DocType: Quality Report,Affected Stock Isolated,Aktiver Lagerbestand isoliert
DocType: Instruction,Amended From,Abgeändert von
DocType: Quality Report,Applicable causes that could explain why the problem has occurred and why the problem was not noticed at the time it occurred. All causes shall be verified or proven. Use 5-Whys or Ishikawa diagrams to map causes against the effect or problem identified.,"Ursachen die erklären können weshalb das Problem aufgetreten sein könnte, weshalb es nicht aufgefallen ist und wann es passiert ist. Alle möglichen Ursachen müssen verifiziert und bewisen werden. 5-Why oder Ishikawa-Diagrappe müssen verwendet werden um die Ursachen dem Effekt oder dem Problem gegenüber zu stellen."
DocType: Instruction,Approved,Genehmigt
DocType: Standard or Norm,Catalog of international standard or norm to comply with quality and other regulations.,Katalog internationaler Standards und Normen des Qualitätsmanagement und anderer rechtlicher Vorschriften.
DocType: Certificate of Conformity,Certificate of Conformity,Konformitätsbescheinigung
DocType: Quality Report Action,Closed,Geschlossen
DocType: Quality Report,Closing Words,Schlussbemerkungen
DocType: Instruction,Company,Firma
DocType: Quality Report Action,Completion Date,Fertigstellungstermin
DocType: Quality Report Action,Containment,Sofortmaßnahmen
DocType: Quality Report,Containment Actions,Sofortmaßnahmen
DocType: Instruction,Content,Inhalt
DocType: Equipment Management,Control of monitoring and measuring equipment.,Kontrolle von Mess- und Prüfmitteln.
DocType: Quality Report Action,Corrective,Abstellmaßnahmen
DocType: Quality Report,Corrective Actions,Abstellmaßnahmen
DocType: Quality Report,Customer,Kunde
DocType: Quality Report,Customer Contact,Kundenkontakt
DocType: Quality Report,Customer Item,Kunden Artikelnummer
DocType: Quality Report,Customer Return Code,Kunden Reklamationsnummer
DocType: Quality Report,D1 Team,D1 Zusammenstellen eines Teams für die Problemlösung
DocType: Quality Report,D2 Description of the Problem,D2 Problembeschreibung
DocType: Quality Report,D3 Interim Containment Actions,D3 Sofortmaßnahmen festlegen
DocType: Quality Report,D4 Root Causes and Escape Points,D4 Fehlerursache(n) feststellen
DocType: Quality Report,D5 Planning and Verification of Corrective Actions,D5 Planen von Abstellmaßnahmen
DocType: Quality Report,D6 Definition and Implementation of Corrective Actions,D6 Einführen der Abstellmaßnahmen
DocType: Quality Report,D7 Recurrence Preventation,D7 Fehlerwiederholung verhindern
DocType: Quality Report,D8 Congratulating the Team,D8 Würdigen der Teamleistung
DocType: Quality Report,Date,Datum
